book Name,Author,length
Atomic Habits,Written by: James Clear,Length: 5 hrs and 35 mins
The Psychology of Money,Written by: Morgan Housel,Length: 5 hrs and 48 mins
Rich Dad Poor Dad,Written by: Robert T. Kiyosaki,Length: 6 hrs and 9 mins
Energize Your Mind,Written by: Gaur Gopal Das,Length: 10 hrs and 20 mins
How to Talk to Anyone,Written by: Leil Lowndes,Length: 8 hrs and 59 mins
Ikigai,"Written by: Héctor García, Francesc Miralles",Length: 3 hrs and 23 mins
The Subtle Art of Not Giving a F*ck,Written by: Mark Manson,Length: 5 hrs and 17 mins
Hyperfocus,Written by: Chris Bailey,Length: 6 hrs and 39 mins
Sapiens,Written by: Yuval Noah Harari,Length: 15 hrs and 18 mins
Can't Hurt Me,Written by: David Goggins,Length: 13 hrs and 37 mins
"Thinking, Fast and Slow",Written by: Daniel Kahneman,Length: 20 hrs
Doglapan,Written by: Ashneer Grover,Length: 6 hrs and 30 mins
The 5 AM Club,Written by: Robin Sharma,Length: 11 hrs and 4 mins
The Courage to Be Disliked ,"Written by: Fumitake Koga, Ichiro Kishimi",Length: 6 hrs and 50 mins
The Hidden Hindu,Written by: Akshat Gupta,Length: 5 hrs and 36 mins
The Almanack of Naval Ravikant,"Written by: Eric Jorgenson, Tim Ferriss",Length: 4 hrs and 53 mins
The Intelligent Investor Rev Ed.,Written by: Benjamin Graham,Length: 17 hrs and 48 mins
The Power of Your Subconscious Mind,Written by: Joseph Murphy,Length: 7 hrs and 13 mins
Zero to One,"Written by: Peter Thiel, Blake Masters",Length: 4 hrs and 50 mins
12 Rules for Life,Written by: Jordan B. Peterson,Length: 15 hrs and 56 mins
Master Your Emotions: A Practical Guide to Overcome Negativity and Better Manage Your Feelings,Written by: Thibaut Meurisse,Length: 3 hrs and 54 mins
Life's Amazing Secrets,Written by: Gaur Gopal Das,Length: 6 hrs and 25 mins
The Alchemist,Written by: Paulo Coelho,Length: 4 hrs
Chanakya Neeti,Written by: Acharya Chanakya,Length: 5 hrs and 2 mins
The Bhagavad Gita,Written by: Eknath Easwaran,Length: 8 hrs and 54 mins
Never Split the Difference,"Written by: Chris Voss, Tahl Raz",Length: 8 hrs and 7 mins
Mahabharat,Written by: Sadhguru,Length: 20 hrs and 42 mins
Think and Grow Rich,Written by: Napoleon Hill,Length: 10 hrs and 15 mins
Start with Why,Written by: Simon Sinek,Length: 7 hrs and 18 mins
The Immortals of Meluha,Written by: Amish Tripathi,Length: 11 hrs and 39 mins
Let's Talk Money,Written by: Monika Halan,Length: 5 hrs and 56 mins
Autobiography of a Yogi,Written by: Paramahansa Yogananda,Length: 17 hrs and 50 mins
"Harry Potter and the Philosopher's Stone, Book 1",Written by: J.K. Rowling,Length: 8 hrs and 25 mins
The Secret of Secrets,Written by: Osho,Length: 53 hrs and 32 mins
Eat That Frog!,Written by: Brian Tracy,Length: 2 hrs and 37 mins
